Model,Accuracy,Precision,Recall,F1
Decision Tree,0.93374005714727,0.9385192127460169,0.9407233442930953,0.9396199859254046
Tuned Decision Tree,0.9380736981465135,0.9541542957831908,0.9315816593943103,0.9427313707481872
Tuned Random Forest,0.9428527299405359,0.9524960887498222,0.942841053076165,0.9476439790575916
